open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3228,3228,3228,3228,3000,AG9999.SHG,2016-01-04,NA,NA,NA
3245,3253,3245,3250,4500,AG9999.SHG,2016-01-05,NA,NA,NA
3250,3280,3213,3213,23700,AG9999.SHG,2016-01-06,NA,NA,NA
3304,3304,3270,3290,4950,AG9999.SHG,2016-01-08,NA,NA,NA
3275,3295,3270,3284,6660,AG9999.SHG,2016-01-11,NA,NA,NA
3240,3240,3210,3211,5010,AG9999.SHG,2016-01-12,NA,NA,NA
3200,3200,3200,3200,30,AG9999.SHG,2016-01-13,NA,NA,NA
3240,3254,3240,3251,12000,AG9999.SHG,2016-01-18,NA,NA,NA
3220,3245,3220,3243,390,AG9999.SHG,2016-01-19,NA,NA,NA
3260,3274,3260,3269,7200,AG9999.SHG,2016-01-21,NA,NA,NA
3235,3235,3235,3235,30,AG9999.SHG,2016-01-22,NA,NA,NA
3398,3450,3398,3441,6000,AG9999.SHG,2016-02-15,NA,NA,NA
3414,3414,3370,3391,16830,AG9999.SHG,2016-02-23,NA,NA,NA
3380,3380,3380,3380,30,AG9999.SHG,2016-02-24,NA,NA,NA
3380,3389,3369,3371,14430,AG9999.SHG,2016-02-25,NA,NA,NA
3368,3368,3359,3363,60,AG9999.SHG,2016-02-26,NA,NA,NA
3345,3345,3274,3309,60,AG9999.SHG,2016-02-29,NA,NA,NA
3300,3305,3294,3301,9630,AG9999.SHG,2016-03-01,NA,NA,NA
3275,3275,3272,3273,90,AG9999.SHG,2016-03-02,NA,NA,NA
3288,3288,3288,3288,900,AG9999.SHG,2016-03-03,NA,NA,NA
3401,3418,3401,3410,27150,AG9999.SHG,2016-03-07,NA,NA,NA
3474,3479,3382,3397,14640,AG9999.SHG,2016-03-08,NA,NA,NA
3365,3365,3320,3339,9990,AG9999.SHG,2016-03-09,NA,NA,NA
3340,3340,3338,3339,1200,AG9999.SHG,2016-03-10,NA,NA,NA
3369,3381,3345,3377,4440,AG9999.SHG,2016-03-11,NA,NA,NA
3375,3375,3375,3375,1200,AG9999.SHG,2016-03-14,NA,NA,NA
3355,3355,3343,3349,90,AG9999.SHG,2016-03-15,NA,NA,NA
3336,3336,3336,3336,30,AG9999.SHG,2016-03-16,NA,NA,NA
3454,3454,3454,3454,570,AG9999.SHG,2016-03-18,NA,NA,NA
3415,3415,3410,3410,570,AG9999.SHG,2016-03-21,NA,NA,NA
3416,3438,3416,3416,2070,AG9999.SHG,2016-03-22,NA,NA,NA
3423,3439,3423,3434,6000,AG9999.SHG,2016-03-23,NA,NA,NA
3365,3365,3365,3365,90,AG9999.SHG,2016-03-24,NA,NA,NA
3348,3348,3348,3348,30,AG9999.SHG,2016-03-28,NA,NA,NA
3350,3350,3350,3350,570,AG9999.SHG,2016-03-31,NA,NA,NA
3365,3365,3365,3365,1350,AG9999.SHG,2016-04-01,NA,NA,NA
3365,3365,3317,3344,4080,AG9999.SHG,2016-04-05,NA,NA,NA
3333,3339,3330,3334,10500,AG9999.SHG,2016-04-06,NA,NA,NA
3334,3340,3330,3338,6540,AG9999.SHG,2016-04-07,NA,NA,NA
3373,3373,3373,3373,1800,AG9999.SHG,2016-04-11,NA,NA,NA
3373,3431,3373,3429,3360,AG9999.SHG,2016-04-13,NA,NA,NA
3437,3437,3425,3433,6810,AG9999.SHG,2016-04-14,NA,NA,NA
3397,3469,3396,3454,6360,AG9999.SHG,2016-04-15,NA,NA,NA
3454,3500,3450,3489,9000,AG9999.SHG,2016-04-18,NA,NA,NA
3480,3480,3460,3460,1800,AG9999.SHG,2016-04-19,NA,NA,NA
3648,3648,3648,3648,420,AG9999.SHG,2016-04-20,NA,NA,NA
3600,3600,3600,3600,30,AG9999.SHG,2016-04-26,NA,NA,NA
