open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
7627.0,7627.0,7624.0,7625.0,5130.0,AG9999.SHG,2025-01-02,,,
7749.0,7749.0,7749.0,7749.0,660.0,AG9999.SHG,2025-01-08,,,
7766.0,7772.0,7766.0,7766.0,3180.0,AG9999.SHG,2025-01-09,,,
7820.0,7820.0,7820.0,7820.0,180.0,AG9999.SHG,2025-01-10,,,
7783.0,7783.0,7783.0,7783.0,150.0,AG9999.SHG,2025-01-13,,,
7640.0,7640.0,7629.0,7639.0,3030.0,AG9999.SHG,2025-01-14,,,
7662.0,7665.0,7662.0,7664.0,570.0,AG9999.SHG,2025-01-15,,,
7880.0,7880.0,7880.0,7880.0,3000.0,AG9999.SHG,2025-01-17,,,
7720.0,7720.0,7720.0,7720.0,60.0,AG9999.SHG,2025-01-20,,,
7745.0,7745.0,7745.0,7745.0,180.0,AG9999.SHG,2025-01-24,,,
8083.0,8083.0,8083.0,8083.0,180.0,AG9999.SHG,2025-02-06,,,
8095.0,8095.0,8095.0,8095.0,300.0,AG9999.SHG,2025-02-18,,,
8166.0,8166.0,8166.0,8166.0,30.0,AG9999.SHG,2025-02-20,,,
8100.0,8100.0,8100.0,8100.0,30.0,AG9999.SHG,2025-02-24,,,
7915.0,7915.0,7915.0,7915.0,300.0,AG9999.SHG,2025-03-03,,,
7953.0,7963.0,7953.0,7953.0,2040.0,AG9999.SHG,2025-03-04,,,
8115.0,8115.0,8115.0,8115.0,150.0,AG9999.SHG,2025-03-12,,,
8370.0,8370.0,8370.0,8370.0,1230.0,AG9999.SHG,2025-03-18,,,
8220.0,8220.0,8220.0,8220.0,1260.0,AG9999.SHG,2025-03-21,,,
8252.0,8252.0,8252.0,8252.0,360.0,AG9999.SHG,2025-03-25,,,
8460.0,8476.0,8460.0,8467.0,9000.0,AG9999.SHG,2025-04-01,,,
7682.0,7682.0,7682.0,7682.0,1860.0,AG9999.SHG,2025-04-07,,,
7990.0,7990.0,7990.0,7990.0,30.0,AG9999.SHG,2025-04-10,,,
7994.0,7994.0,7994.0,7994.0,180.0,AG9999.SHG,2025-04-11,,,
8166.0,8166.0,8166.0,8166.0,1530.0,AG9999.SHG,2025-04-15,,,
8210.0,8210.0,8205.0,8209.0,1890.0,AG9999.SHG,2025-04-16,,,
8188.0,8188.0,8188.0,8188.0,1500.0,AG9999.SHG,2025-04-17,,,
8238.0,8238.0,8238.0,8238.0,60.0,AG9999.SHG,2025-04-22,,,
8330.0,8330.0,8330.0,8330.0,3600.0,AG9999.SHG,2025-04-25,,,
8263.0,8263.0,8263.0,8263.0,180.0,AG9999.SHG,2025-05-06,,,
8179.0,8179.0,8179.0,8179.0,540.0,AG9999.SHG,2025-05-09,,,
8245.0,8245.0,8245.0,8245.0,540.0,AG9999.SHG,2025-05-12,,,
8300.0,8300.0,8300.0,8300.0,30.0,AG9999.SHG,2025-05-22,,,
8265.0,8265.0,8265.0,8265.0,900.0,AG9999.SHG,2025-05-23,,,
8236.0,8236.0,8236.0,8236.0,300.0,AG9999.SHG,2025-05-27,,,
8256.0,8256.0,8240.0,8254.0,4680.0,AG9999.SHG,2025-05-28,,,
8915.0,8926.0,8915.0,8917.0,7680.0,AG9999.SHG,2025-06-10,,,
8818.0,8848.0,8818.0,8832.0,6210.0,AG9999.SHG,2025-06-13,,,
8986.0,8986.0,8986.0,8986.0,180.0,AG9999.SHG,2025-06-18,,,
8966.0,8966.0,8966.0,8966.0,30.0,AG9999.SHG,2025-07-03,,,
8944.0,8944.0,8936.0,8942.0,1740.0,AG9999.SHG,2025-07-04,,,
8880.0,8880.0,8880.0,8880.0,150.0,AG9999.SHG,2025-07-09,,,
8894.0,8894.0,8894.0,8894.0,360.0,AG9999.SHG,2025-07-10,,,
9210.0,9210.0,9210.0,9210.0,3000.0,AG9999.SHG,2025-07-18,,,
9379.0,9379.0,9379.0,9379.0,240.0,AG9999.SHG,2025-07-22,,,
9380.0,9380.0,9380.0,9380.0,660.0,AG9999.SHG,2025-07-25,,,
9209.0,9209.0,9209.0,9209.0,480.0,AG9999.SHG,2025-07-28,,,
9200.0,9204.0,9200.0,9201.0,150.0,AG9999.SHG,2025-07-29,,,
9236.0,9266.0,9236.0,9239.0,3060.0,AG9999.SHG,2025-08-13,,,
9198.0,9198.0,9198.0,9198.0,120.0,AG9999.SHG,2025-08-19,,,
9390.0,9390.0,9390.0,9390.0,900.0,AG9999.SHG,2025-08-29,,,
9808.0,9818.0,9808.0,9813.0,9960.0,AG9999.SHG,2025-09-08,,,
10060.0,10060.0,10042.0,10048.0,6210.0,AG9999.SHG,2025-09-12,,,
9980.0,9980.0,9980.0,9980.0,300.0,AG9999.SHG,2025-09-19,,,
10960.0,10960.0,10960.0,10960.0,360.0,AG9999.SHG,2025-09-30,,,
10254.0,11508.0,10254.0,10972.0,4980.0,AG9999.SHG,2025-10-09,,,
11500.0,11500.0,11500.0,11500.0,360.0,AG9999.SHG,2025-10-13,,,
12034.0,12034.0,11909.0,11958.0,10110.0,AG9999.SHG,2025-10-15,,,
12218.0,12218.0,12218.0,12218.0,3000.0,AG9999.SHG,2025-10-16,,,
12225.0,12225.0,12225.0,12225.0,3000.0,AG9999.SHG,2025-10-17,,,
11900.0,11900.0,11723.0,11732.0,6330.0,AG9999.SHG,2025-10-20,,,
12065.0,12065.0,11725.0,11980.0,4350.0,AG9999.SHG,2025-10-21,,,
11351.0,11510.0,11351.0,11425.0,6450.0,AG9999.SHG,2025-10-22,,,
11550.0,11550.0,11486.0,11544.0,3300.0,AG9999.SHG,2025-10-23,,,
11469.0,11469.0,11469.0,11469.0,3300.0,AG9999.SHG,2025-10-24,,,
11463.0,11463.0,11463.0,11463.0,2130.0,AG9999.SHG,2025-10-27,,,
11232.0,11232.0,11037.0,11205.0,2460.0,AG9999.SHG,2025-10-28,,,
11314.0,11314.0,11270.0,11299.0,3210.0,AG9999.SHG,2025-10-29,,,
11215.0,11215.0,11215.0,11215.0,2130.0,AG9999.SHG,2025-10-30,,,
11558.0,11558.0,11558.0,11558.0,2130.0,AG9999.SHG,2025-10-31,,,
11415.0,11465.0,11415.0,11423.0,3090.0,AG9999.SHG,2025-11-03,,,
11375.0,11375.0,11255.0,11346.0,4230.0,AG9999.SHG,2025-11-04,,,
11343.0,11344.0,11280.0,11339.0,3720.0,AG9999.SHG,2025-11-05,,,
11376.0,11480.0,11376.0,11421.0,4440.0,AG9999.SHG,2025-11-06,,,
11500.0,11510.0,11450.0,11504.0,15600.0,AG9999.SHG,2025-11-07,,,
11690.0,11745.0,11610.0,11687.0,1230.0,AG9999.SHG,2025-11-10,,,
12050.0,12050.0,12050.0,12050.0,1410.0,AG9999.SHG,2025-11-11,,,
12054.0,12105.0,12054.0,12077.0,330.0,AG9999.SHG,2025-11-12,,,
12077.0,12700.0,12077.0,12610.0,300.0,AG9999.SHG,2025-11-13,,,
12525.0,12525.0,12426.0,12496.0,1140.0,AG9999.SHG,2025-11-14,,,
12040.0,12040.0,11984.0,12028.0,4380.0,AG9999.SHG,2025-11-17,,,
11837.0,11837.0,11748.0,11812.0,990.0,AG9999.SHG,2025-11-18,,,
12060.0,12177.0,12060.0,12075.0,450.0,AG9999.SHG,2025-11-19,,,
12060.0,12060.0,12060.0,12060.0,60.0,AG9999.SHG,2025-11-20,,,
11935.0,11935.0,11735.0,11741.0,1800.0,AG9999.SHG,2025-11-21,,,
11915.0,11915.0,11840.0,11855.0,1770.0,AG9999.SHG,2025-11-24,,,
12187.0,12187.0,12145.0,12168.0,1230.0,AG9999.SHG,2025-11-25,,,
12248.0,12248.0,12248.0,12248.0,60.0,AG9999.SHG,2025-11-26,,,
12719.0,12719.0,12719.0,12719.0,240.0,AG9999.SHG,2025-11-28,,,
13503.0,13503.0,13315.0,13458.0,2130.0,AG9999.SHG,2025-12-01,,,
13450.0,13545.0,13449.0,13467.0,2160.0,AG9999.SHG,2025-12-02,,,
13905.0,13905.0,13605.0,13853.0,1920.0,AG9999.SHG,2025-12-03,,,
13718.0,13744.0,13400.0,13721.0,6810.0,AG9999.SHG,2025-12-04,,,
13450.0,13682.0,13450.0,13489.0,3030.0,AG9999.SHG,2025-12-05,,,
13692.0,13720.0,13692.0,13708.0,420.0,AG9999.SHG,2025-12-08,,,
13626.0,13626.0,13626.0,13626.0,600.0,AG9999.SHG,2025-12-09,,,
14396.0,14396.0,14396.0,14396.0,120.0,AG9999.SHG,2025-12-10,,,
14520.0,14520.0,14475.0,14513.0,630.0,AG9999.SHG,2025-12-11,,,
14860.0,14860.0,14860.0,14860.0,30.0,AG9999.SHG,2025-12-15,,,
15550.0,15550.0,15550.0,15550.0,510.0,AG9999.SHG,2025-12-18,,,
16230.0,16230.0,16230.0,16230.0,6000.0,AG9999.SHG,2025-12-22,,,
16575.0,16575.0,16535.0,16559.0,600.0,AG9999.SHG,2025-12-23,,,
17630.0,17630.0,17630.0,17630.0,4590.0,AG9999.SHG,2025-12-24,,,
18439.0,18439.0,18439.0,18439.0,90.0,AG9999.SHG,2025-12-26,,,
18120.0,18200.0,18120.0,18160.0,9120.0,AG9999.SHG,2025-12-30,,,
18700.0,18700.0,18700.0,18700.0,4440.0,AG9999.SHG,2025-12-31,,,
